event_id,country_name,iso_code,admin_division,disease_name,disease_subtype,disease_group,causal_agent_type,species_name,is_wild,epi_unit_type,is_domestic,is_aquatic,latitude,longitude,location_approx,event_started_on,event_confirmed_on,event_ended_on,outbreak_start_date,outbreak_end_date,last_occurrence,reported_on,susceptible,cases,deaths,killed,slaughtered,vaccinated,intervention_quarantine_applied,intervention_movement_control_applied,intervention_stamping_out_applied,intervention_disinfection_applied,intervention_surveillance_applied,intervention_screening_applied,intervention_disposal_applied,intervention_vaccination_applied,intervention_zoning_applied,intervention_vector_control_applied,intervention_wildlife_control_applied,intervention_traceability_applied,intervention_treatment_applied,intervention_slaughter_applied,intervention_count,lab_test_performed,diagnostic_method_types,event_status,reason_type
1,"Argentina","ARG","Buenos Aires","West Nile Fever ",null,"Multiple species","Virus","Equidae",0,"Farm",0,0,-34.4822,-58.51818,0,"2006-02-04T00:00:00.000+00:00","2006-04-19T00:00:00.000+00:00","2006-12-21T00:00:00.000+00:00","2006-02-27T00:00:00.000+00:00","2006-12-21T00:00:00.000+00:00",null,"2007-02-09T00:00:00.000+00:00",640,3,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,5,"Diagnostic test|Clinical","Resolved","First occurrence"
3,"Japan","JPN","Fukuoka","Newcastle disease ",null,"Aves","Virus","Birds",0,"Farm",0,0,33.3718,130.6936,0,"2006-03-02T00:00:00.000+00:00","2006-03-04T00:00:00.000+00:00","2006-06-19T00:00:00.000+00:00","2006-05-07T00:00:00.000+00:00","2006-05-10T00:00:00.000+00:00","2005-11-01T00:00:00.000+00:00","2006-05-10T00:00:00.000+00:00",30477,494,449,30028,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6,3,"Diagnostic test|Clinical","Resolved","Recurrence"
4,"Denmark","DNK","Fyns Amt (2005-2007)","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Birds",0,"Farm",0,0,55.3931,10.5816,0,"2006-05-16T00:00:00.000+00:00","2006-05-18T00:00:00.000+00:00","2006-05-29T00:00:00.000+00:00","2006-05-16T00:00:00.000+00:00","2006-05-29T00:00:00.000+00:00",null,"2006-09-12T00:00:00.000+00:00",102,47,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Diagnostic test|Clinical","Resolved","First occurrence"
5,"Czech Republic","CZE","Jihomoravský","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Wildlife (species unspecified)",1,"Village",0,0,48.6962,16.9564,0,"2006-05-12T00:00:00.000+00:00","2006-05-19T00:00:00.000+00:00","2006-06-14T00:00:00.000+00:00","2006-05-19T00:00:00.000+00:00","2006-06-14T00:00:00.000+00:00","2006-05-10T00:00:00.000+00:00","2006-06-15T00:00:00.000+00:00",54,2,2,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,8,1,"Diagnostic test","Resolved","Recurrence"
6,"Bolivia","BOL","Chuquisaca","Aujeszky's disease ",null,"Multiple species","Virus","Swine",0,"Farm",0,0,-19.7444,-64.101,0,"2006-05-08T00:00:00.000+00:00","2006-05-18T00:00:00.000+00:00","2006-10-05T00:00:00.000+00:00","2006-08-25T00:00:00.000+00:00","2006-10-05T00:00:00.000+00:00","2005-07-01T00:00:00.000+00:00","2006-10-05T00:00:00.000+00:00",1461,71,56,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,12,4,"Clinical|Diagnostic test","Resolved","Recurrence"
7,"Ecuador","ECU","Pichincha (2005-2007)","Foot and mouth disease ","O","Multiple species","Virus","Cattle",0,"Farm",0,0,-0.2051,-78.9311,0,"2006-05-15T00:00:00.000+00:00","2006-05-17T00:00:00.000+00:00","2006-08-14T00:00:00.000+00:00","2006-05-15T00:00:00.000+00:00","2006-08-14T00:00:00.000+00:00","2005-12-31T00:00:00.000+00:00","2006-05-25T00:00:00.000+00:00",585,38,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6,1,"Diagnostic test|Clinical","Resolved","Recurrence"
8,"Niger","NER","Maradi","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Birds",0,"Village",0,0,14.2217,7.298,0,"2006-02-13T00:00:00.000+00:00","2006-02-27T00:00:00.000+00:00","2006-06-09T00:00:00.000+00:00","2006-04-25T00:00:00.000+00:00","2006-06-09T00:00:00.000+00:00","1995-10-01T00:00:00.000+00:00","2006-06-15T00:00:00.000+00:00",28000,700,530,21504,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,16,2,"Diagnostic test|Necropsy|Clinical","Resolved","Recurrence"
9,"Denmark","DNK","Fyns Amt (2005-2007)","Low pathogenic avian influenza (poultry)(2006-)",null,"Aves","Virus","Birds",0,"Farm",1,0,55.2831,10.2135,0,"2006-06-01T00:00:00.000+00:00","2006-06-02T00:00:00.000+00:00","2006-06-30T00:00:00.000+00:00","2006-06-01T00:00:00.000+00:00","2006-06-30T00:00:00.000+00:00",null,"2006-06-30T00:00:00.000+00:00",22550,0,0,22550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Diagnostic test","Resolved","First occurrence"
10,"Israel","ISR","Hadarom","Highly pathogenic avian influenza ","H5N1","Aves","Virus","Birds",0,"Farm",0,0,30.6549,34.9034,0,"2006-03-16T00:00:00.000+00:00","2006-03-16T00:00:00.000+00:00","2006-04-02T00:00:00.000+00:00","2006-03-30T00:00:00.000+00:00","2006-04-02T00:00:00.000+00:00","1988-12-31T00:00:00.000+00:00","2006-07-23T00:00:00.000+00:00",271400,15200,15000,256400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Necropsy|Diagnostic test|Clinical","Resolved","Recurrence"
11,"Turkey","TUR","Kirklareli","Foot and mouth disease ","A","Multiple species","Virus","Cattle",0,"Village",0,0,41.5916,27.4631,0,"2006-01-11T00:00:00.000+00:00","2006-02-01T00:00:00.000+00:00","2006-03-26T00:00:00.000+00:00","2006-01-11T00:00:00.000+00:00","2006-03-16T00:00:00.000+00:00","2001-06-01T00:00:00.000+00:00","2006-09-29T00:00:00.000+00:00",6953,91,0,0,37,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,12,1,"Diagnostic test|Clinical","Resolved","Recurrence"
